UNIQUE_ID,NAME
MSC2025A59,Moose Jaw
MSC2025A64,Old Wives Lake
MSC2025A66,Petite Ville
MSC2025A69,Red Deer Forks
MSC2025A72,Round Prairie
MSC2025A12,Chapel Coulee
MSC2025A13,Chimney Coulee
MSC2025A36,Four Mile Coulee
MSC2025A42,Grosse Butte
MSC2025A15,Coquille Pilée
MSC2025A20,Cypress Hills
MSC2025A22,Dirt Hills
MSC2025A32,Fort Qu'Appelle
MSC2025A49,Last Mountain Lake
MSC2025A61,Moose Mountain
MSC2025A87,Wood Mountain
