Shape_Length,Shape_Area,UNIQUE_ID,NAME
267974.398995397030376,3309570214.135956287384033,MSC2025A41,Green Lake
63779.634140037582256,254237971.301135838031769,MSC2025A5,Baljennie
59350.842921196526731,214354203.111382573843002,MSC2025A24,Duck Lake
64921.926769605081063,263425172.856049388647079,MSC2025A39,Glen Mary
63011.453937936777947,248149176.151125907897949,MSC2025A54,Lestock
62681.547259816477890,245560139.215493261814117,MSC2025A17,Crescent Lake
59472.718767306330847,225080324.005616486072540,MSC2025A19,Crooked Lake
52989.558369099278934,164385128.637371063232422,MSC2025A52,Lebret
43749.253701294743223,103375529.228954732418060,MSC2025A86,Willow Bunch Lacerte Co-op
