UNIQUE_ID,NAME
MSC2025A27,Fort à la Corne
MSC2025A28,Fort Carlton
MSC2025A29,Fort La Montée
MSC2025A30,Fort Pelly
MSC2025A31,Fort Pitt
MSC2025A33,Fort Qu'Appelle
MSC2025A35,Fort Walsh
MSC2025A48,Last Mountain House
MSC2025A63,Muskootao Point
