PPID,EFFDT,FEATURECD,TWP,RGE,MER,TRM
01300004P9,09/02/2007,THEORETIC,86,04,2,86-04-2
01300004PD,09/02/2007,THEORETIC,87,07,2,87-07-2
01300001PQ,09/11/2017,SURVEYED,36,27,3,36-27-3
01300005AP,09/02/2007,THEORETIC,68,07,2,68-07-2
01300005AV,09/02/2007,THEORETIC,69,06,2,69-06-2
01300005B2,09/02/2007,THEORETIC,70,04,2,70-04-2
01300005B8,09/02/2007,THEORETIC,71,06,2,71-06-2
01300005BE,09/02/2007,THEORETIC,73,05,2,73-05-2
01300005C1,09/02/2007,THEORETIC,76,08,2,76-08-2
01300005C8,09/02/2007,THEORETIC,78,03,2,78-03-2
01300005D5,09/02/2007,THEORETIC,83,02,2,83-02-2
01300005DM,09/02/2007,THEORETIC,86,06,2,86-06-2
01300005DY,09/02/2007,THEORETIC,87,03,2,87-03-2
01300005EC,09/02/2007,THEORETIC,90,07,2,90-07-2
01300005F4,09/02/2007,THEORETIC,94,01,2,94-01-2
01300005F7,09/02/2007,THEORETIC,94,02,2,94-02-2
01300005FK,09/02/2007,THEORETIC,95,03,2,95-03-2
01300005FL,09/02/2007,THEORETIC,95,07,2,95-07-2
01300003WA,09/02/2007,THEORETIC,64,02,2,64-02-2
01300003WE,09/02/2007,THEORETIC,65,08,2,65-08-2
01300003WL,09/02/2007,THEORETIC,66,04,2,66-04-2
0130000405,09/02/2007,THEORETIC,88,05,2,88-05-2
013000051M,09/02/2007,THEORETIC,88,06,2,88-06-2
0130000409,09/02/2007,THEORETIC,89,02,2,89-02-2
013000040C,09/02/2007,THEORETIC,89,04,2,89-04-2
013000014G,09/11/2017,SURVEYED,48,14,2,48-14-2
013000049H,09/02/2007,THEORETIC,72,06,2,72-06-2
01300005SS,09/02/2007,THEORETIC,89,06,2,89-06-2
0130000533,09/02/2007,THEORETIC,97,07,2,97-07-2
013000053D,09/02/2007,THEORETIC,99,17,2,99-17-2
013000053N,09/02/2007,THEORETIC,100,10,3,100-10-3
013000053U,09/02/2007,THEORETIC,100,04,3,100-04-3
013000053W,09/02/2007,THEORETIC,101,13,3,101-13-3
013000055L,09/02/2007,THEORETIC,108,09,2,108-09-2
013000056D,09/02/2007,THEORETIC,113,11,2,113-11-2
013000056S,09/02/2007,THEORETIC,114,03,2,114-03-2
0130000572,09/02/2007,THEORETIC,116,05,2,116-05-2
013000057P,09/02/2007,THEORETIC,119,24,2,119-24-2
0130000584,09/02/2007,THEORETIC,121,19,2,121-19-2
0130000586,09/02/2007,THEORETIC,121,21,2,121-21-2
013000058P,09/02/2007,THEORETIC,124,09,2,124-09-2
01300005EE,09/02/2007,THEORETIC,91,01,2,91-01-2
01300004CM,09/02/2007,THEORETIC,91,03,2,91-03-2
01300004PW,09/02/2007,THEORETIC,91,04,2,91-04-2
01300005T3,09/02/2007,THEORETIC,91,06,2,91-06-2
01300004CS,09/02/2007,THEORETIC,92,03,2,92-03-2
01300004CU,09/02/2007,THEORETIC,92,07,2,92-07-2
013000064V,09/02/2007,THEORETIC,93,01,2,93-01-2
01300004DB,09/02/2007,THEORETIC,94,05,2,94-05-2
013000041B,09/02/2007,THEORETIC,94,07,2,94-07-2
013000041Q,09/02/2007,THEORETIC,96,07,2,96-07-2
01300005NC,09/02/2007,THEORETIC,64,06,2,64-06-2
01300005NK,09/02/2007,THEORETIC,65,05,2,65-05-2
01300005PX,09/02/2007,THEORETIC,73,08,2,73-08-2
01300005Q6,09/02/2007,THEORETIC,74,04,2,74-04-2
01300005Q9,09/02/2007,THEORETIC,75,03,2,75-03-2
01300003WY,09/02/2007,THEORETIC,68,04,2,68-04-2
01300003WZ,09/02/2007,THEORETIC,69,01,2,69-01-2
01300003X7,09/02/2007,THEORETIC,70,06,2,70-06-2
01300003XA,09/02/2007,THEORETIC,71,01,2,71-01-2
01300003YV,09/02/2007,THEORETIC,81,03,2,81-03-2
01300003YY,09/02/2007,THEORETIC,81,08,2,81-08-2
01300000AP,09/02/2007,THEORETIC,70,30,1,70-30-1
013000009L,09/02/2007,THEORETIC,73,30,1,73-30-1
013000008R,09/02/2007,THEORETIC,79,30,1,79-30-1
0130000507,09/02/2007,THEORETIC,81,30,1,81-30-1
013000008P,09/02/2007,THEORETIC,80,30,1,80-30-1
01300005CZ,09/02/2007,THEORETIC,82,30,1,82-30-1
01300000A2,09/02/2007,THEORETIC,72,30,1,72-30-1
013000050F,09/02/2007,THEORETIC,83,01,2,83-01-2
013000009A,09/02/2007,THEORETIC,76,30,1,76-30-1
013000009G,09/02/2007,THEORETIC,75,30,1,75-30-1
01300000AT,09/02/2007,THEORETIC,69,30,1,69-30-1
01300000AJ,09/02/2007,THEORETIC,71,30,1,71-30-1
013000009J,09/02/2007,THEORETIC,74,30,1,74-30-1
0130000183,09/11/2017,SURVEYED,46A,25,2,46A-25-2
0130000013,09/02/2007,SURVEYED,60,23,3,60-23-3
01300000F8,09/02/2007,SURVEYED,61,27,3,61-27-3
0130000271,09/11/2017,SURVEYED,26,07,2,26-07-2
01300000FC,09/02/2007,SURVEYED,61,24,3,61-24-3
01300000FZ,09/02/2007,SURVEYED,60,24,3,60-24-3
01300000GS,09/02/2007,SURVEYED,59,26,3,59-26-3
01300000GY,09/02/2007,SURVEYED,59,25,3,59-25-3
01300000H8,09/02/2007,SURVEYED,59,24,3,59-24-3
01300000HX,09/02/2007,SURVEYED,58,27,3,58-27-3
01300000JK,09/02/2007,SURVEYED,57,27,3,57-27-3
01300000JN,09/02/2007,SURVEYED,57,25,3,57-25-3
01300000JQ,09/02/2007,SURVEYED,57,24,3,57-24-3
01300000JR,09/02/2007,SURVEYED,57,23,3,57-23-3
013000025N,09/11/2017,SURVEYED,27,15,3,27-15-3
01300000KF,09/02/2007,SURVEYED,56,27,3,56-27-3
01300000KJ,09/02/2007,SURVEYED,56,26,3,56-26-3
01300000KS,09/02/2007,SURVEYED,56,25,3,56-25-3
01300000L2,09/02/2007,SURVEYED,56,23,3,56-23-3
01300000MT,09/02/2007,SURVEYED,55,26,3,55-26-3
01300000PG,09/02/2007,SURVEYED,55,23,3,55-23-3
01300000QN,09/02/2007,SURVEYED,54,28,3,54-28-3
01300002WV,09/11/2017,SURVEYED,12,02,3,12-02-3
01300000SJ,09/02/2007,SURVEYED,53,28,3,53-28-3
0130000255,17/12/2008,SURVEYED,27,24,3,27-24-3
0130000356,09/11/2017,SURVEYED,07,27,2,07-27-2
01300000ET,09/02/2007,SURVEYED,62,24,3,62-24-3
01300000FD,09/02/2007,SURVEYED,61,23,3,61-23-3
01300000FU,09/02/2007,SURVEYED,60,27,3,60-27-3
01300000FY,09/02/2007,SURVEYED,60,25,3,60-25-3
01300002Y7,09/11/2017,SURVEYED,11,05,3,11-05-3
01300000JL,09/02/2007,SURVEYED,57,26,3,57-26-3
01300000MK,09/02/2007,SURVEYED,55,27,3,55-27-3
01300001BY,09/11/2017,SURVEYED,44,26,2,44-26-2
01300001PK,09/11/2017,SURVEYED,36,28,3,36-28-3
013000000Z,09/02/2007,SURVEYED,61,19,3,61-19-3
0130000029,09/02/2007,SURVEYED,54,17,3,54-17-3
01300001ZV,09/11/2017,SURVEYED,30,23,3,30-23-3
013000029B,09/11/2017,SURVEYED,25,28,2,25-28-2
01300000ED,09/02/2007,THEORETIC,63,15,3,63-15-3
01300000EX,09/02/2007,SURVEYED,62,19,3,62-19-3
01300003EK,03/06/2013,SURVEYED,01,11,2,01-11-2
01300000FJ,09/02/2007,SURVEYED,61,17,3,61-17-3
01300000FL,09/02/2007,SURVEYED,61,15,3,61-15-3
01300000G2,09/02/2007,SURVEYED,60,20,3,60-20-3
01300001YB,09/11/2017,SURVEYED,31,23,3,31-23-3
01300000JW,09/02/2007,SURVEYED,57,19,3,57-19-3
01300000JX,09/02/2007,SURVEYED,57,18,3,57-18-3
01300000JZ,09/02/2007,SURVEYED,57,16,3,57-16-3
01300000EZ,09/02/2007,SURVEYED,62,17,3,62-17-3
01300000RV,09/02/2007,SURVEYED,54,18,3,54-18-3
01300000L7,09/02/2007,SURVEYED,56,19,3,56-19-3
01300000L8,09/02/2007,SURVEYED,56,18,3,56-18-3
01300000LA,09/02/2007,SURVEYED,56,16,3,56-16-3
01300000PQ,09/02/2007,SURVEYED,55,18,3,55-18-3
01300000PT,09/02/2007,SURVEYED,55,15,3,55-15-3
01300000TV,09/02/2007,SURVEYED,53,15,3,53-15-3
01300000EW,09/02/2007,SURVEYED,62,20,3,62-20-3
01300000EY,09/02/2007,SURVEYED,62,18,3,62-18-3
01300000F1,09/02/2007,THEORETIC,62,15,3,62-15-3
01300000FG,09/02/2007,SURVEYED,61,20,3,61-20-3
01300000FK,09/02/2007,SURVEYED,61,16,3,61-16-3
01300000HG,09/02/2007,SURVEYED,59,18,3,59-18-3
01300000J3,09/02/2007,SURVEYED,58,21,3,58-21-3
01300000JV,09/02/2007,SURVEYED,57,20,3,57-20-3
01300000JY,09/02/2007,SURVEYED,57,17,3,57-17-3
01300000L6,09/02/2007,SURVEYED,56,20,3,56-20-3
01300000L9,09/02/2007,SURVEYED,56,17,3,56-17-3
01300000LB,09/02/2007,SURVEYED,56,15,3,56-15-3
01300000TQ,09/02/2007,SURVEYED,53,18,3,53-18-3
01300000VN,09/02/2007,SURVEYED,52,21,3,52-21-3
01300001JW,22/12/2008,SURVEYED,39,26,3,39-26-3
01300005ZM,02/02/2012,THEORETIC,61,06,3,61-06-3
01300004LG,13/01/2010,SURVEYED,69,03,3,69-03-3
01300000AU,17/02/2012,THEORETIC,70,16,3,70-16-3
01300005ZT,17/02/2012,THEORETIC,64,10,3,64-10-3
01300004AV,17/02/2012,THEORETIC,80,20,3,80-20-3
01300000F2,22/02/2012,SURVEYED,62,30,1,62-30-1
01300004KZ,22/02/2012,THEORETIC,66,24,3,66-24-3
01300004KE,02/02/2012,THEORETIC,62,06,3,62-06-3
01300005CW,16/02/2012,THEORETIC,82,20,3,82-20-3
01300005ZM,02/02/2012,SURVEYED,61,06,3,61-06-3
01300004X5,09/02/2007,THEORETIC,63,08,3,63-08-3
01300006AU,09/02/2007,THEORETIC,58,03,3,58-03-3
01300006BB,09/02/2007,THEORETIC,61,04,3,61-04-3
01300006BF,09/02/2007,THEORETIC,62,04,3,62-04-3
01300004K3,09/02/2007,THEORETIC,61,01,3,61-01-3
01300003W7,09/02/2007,THEORETIC,63,04,3,63-04-3
01300006AV,09/02/2007,THEORETIC,58,04,3,58-04-3
01300003VV,09/02/2007,THEORETIC,61,03,3,61-03-3
01300004WJ,09/02/2007,THEORETIC,58,05,3,58-05-3
01300000BW,22/02/2012,THEORETIC,67,23,3,67-23-3
013000048K,09/02/2007,THEORETIC,69,08,3,69-08-3
013000061F,09/02/2007,THEORETIC,73,07,3,73-07-3
01300005NE,09/02/2007,THEORETIC,64,09,3,64-09-3
013000048L,09/02/2007,THEORETIC,69,09,3,69-09-3
01300004XG,09/02/2007,THEORETIC,65,08,3,65-08-3
01300004Y2,09/02/2007,THEORETIC,69,07,3,69-07-3
01300003XQ,09/02/2007,THEORETIC,73,08,3,73-08-3
01300005Z8,09/02/2007,THEORETIC,58,01,3,58-01-3
01300006BQ,09/02/2007,THEORETIC,65,01,3,65-01-3
01300004JU,09/02/2007,THEORETIC,57,05,2,57-05-2
01300005Z5,09/02/2007,THEORETIC,57,02,2,57-02-2
01300005Z6,09/02/2007,THEORETIC,57,03,2,57-03-2
013000059A,09/02/2007,THEORETIC,57,04,2,57-04-2
01300005NM,09/02/2007,THEORETIC,65,09,3,65-09-3
01300005PZ,09/02/2007,THEORETIC,73,09,3,73-09-3
013000059B,09/02/2007,THEORETIC,57,06,2,57-06-2
01300005ZZ,09/02/2007,THEORETIC,64,04,3,64-04-3
0130000605,09/02/2007,THEORETIC,65,04,3,65-04-3
01300006BT,09/02/2007,THEORETIC,65,03,3,65-03-3
01300006C1,09/02/2007,THEORETIC,67,04,3,67-04-3
01300006CB,09/02/2007,THEORETIC,69,06,3,69-06-3
01300006D5,09/02/2007,THEORETIC,73,01,3,73-01-3
013000060V,09/02/2007,THEORETIC,69,04,3,69-04-3
01300006DA,09/02/2007,THEORETIC,73,04,3,73-04-3
01300004XY,09/02/2007,THEORETIC,69,02,3,69-02-3
01300004YN,09/02/2007,THEORETIC,73,03,3,73-03-3
013000061C,09/02/2007,THEORETIC,73,02,3,73-02-3
01300005AQ,09/02/2007,THEORETIC,69,01,3,69-01-3
01300005P6,09/02/2007,THEORETIC,68,04,3,68-04-3
01300005P9,09/02/2007,THEORETIC,69,05,3,69-05-3
01300005PV,09/02/2007,THEORETIC,73,05,3,73-05-3
01300004K6,09/02/2007,THEORETIC,61,07,3,61-07-3
01300004K9,09/02/2007,THEORETIC,61,09,3,61-09-3
01300006BH,09/02/2007,THEORETIC,62,08,3,62-08-3
01300004KP,09/02/2007,THEORETIC,65,02,3,65-02-3
01300004LG,09/02/2007,THEORETIC,69,03,3,69-03-3
013000048D,09/02/2007,THEORETIC,68,05,3,68-05-3
01300004K8,09/02/2007,THEORETIC,61,09,2,61-09-2
01300004K4,09/02/2007,THEORETIC,61,02,2,61-02-2
01300004K5,09/02/2007,THEORETIC,61,06,2,61-06-2
01300006BC,09/02/2007,THEORETIC,61,07,2,61-07-2
01300003VW,09/02/2007,THEORETIC,61,05,2,61-05-2
01300004K7,09/02/2007,THEORETIC,61,08,2,61-08-2
01300004WB,09/02/2007,THEORETIC,57,09,2,57-09-2
01300003VT,09/02/2007,THEORETIC,61,01,2,61-01-2
0130000122,09/02/2007,THEORETIC,49,05,2,49-05-2
013000007V,02/02/2012,THEORETIC,86,26,3,86-26-3
01300004WA,09/02/2007,THEORETIC,57,08,2,57-08-2
01300005MW,09/02/2007,THEORETIC,61,03,2,61-03-2
01300004X5,13/01/2010,SURVEYED,63,08,3,63-08-3
01300003W7,13/01/2010,SURVEYED,63,04,3,63-04-3
01300006BH,13/01/2010,SURVEYED,62,08,3,62-08-3
01300003VT,13/01/2010,SURVEYED,61,01,2,61-01-2
01300004K9,13/01/2010,SURVEYED,61,09,3,61-09-3
01300004WJ,13/01/2010,SURVEYED,58,05,3,58-05-3
01300005PZ,13/01/2010,SURVEYED,73,09,3,73-09-3
01300003XQ,13/01/2010,SURVEYED,73,08,3,73-08-3
01300005PV,13/01/2010,SURVEYED,73,05,3,73-05-3
01300004YN,13/01/2010,SURVEYED,73,03,3,73-03-3
013000061C,13/01/2010,SURVEYED,73,02,3,73-02-3
01300006D5,13/01/2010,SURVEYED,73,01,3,73-01-3
013000048L,13/01/2010,SURVEYED,69,09,3,69-09-3
013000048K,13/01/2010,SURVEYED,69,08,3,69-08-3
01300004Y2,13/01/2010,SURVEYED,69,07,3,69-07-3
01300006CB,13/01/2010,SURVEYED,69,06,3,69-06-3
01300005P9,13/01/2010,SURVEYED,69,05,3,69-05-3
013000060V,13/01/2010,SURVEYED,69,04,3,69-04-3
01300005P6,13/01/2010,SURVEYED,68,04,3,68-04-3
01300004XY,13/01/2010,SURVEYED,69,02,3,69-02-3
01300005AQ,13/01/2010,SURVEYED,69,01,3,69-01-3
013000048D,13/01/2010,SURVEYED,68,05,3,68-05-3
01300006C1,13/01/2010,SURVEYED,67,04,3,67-04-3
0130000605,13/01/2010,SURVEYED,65,04,3,65-04-3
01300006BT,13/01/2010,SURVEYED,65,03,3,65-03-3
01300004KP,13/01/2010,SURVEYED,65,02,3,65-02-3
01300006BQ,13/01/2010,SURVEYED,65,01,3,65-01-3
01300005ZZ,13/01/2010,SURVEYED,64,04,3,64-04-3
01300006BF,13/01/2010,SURVEYED,62,04,3,62-04-3
01300004K4,13/01/2010,SURVEYED,61,02,2,61-02-2
01300005MW,13/01/2010,SURVEYED,61,03,2,61-03-2
01300003VW,13/01/2010,SURVEYED,61,05,2,61-05-2
01300004K5,13/01/2010,SURVEYED,61,06,2,61-06-2
01300006BC,13/01/2010,SURVEYED,61,07,2,61-07-2
01300004K7,13/01/2010,SURVEYED,61,08,2,61-08-2
01300004K8,13/01/2010,SURVEYED,61,09,2,61-09-2
01300003VV,13/01/2010,SURVEYED,61,03,3,61-03-3
01300004K3,13/01/2010,SURVEYED,61,01,3,61-01-3
01300004JU,13/01/2010,SURVEYED,57,05,2,57-05-2
013000059B,13/01/2010,SURVEYED,57,06,2,57-06-2
01300004WA,13/01/2010,SURVEYED,57,08,2,57-08-2
01300004WB,13/01/2010,SURVEYED,57,09,2,57-09-2
0130000122,13/01/2010,SURVEYED,49,05,2,49-05-2
01300000MZ,14/01/2010,SURVEYED,57,03,3,57-03-3
01300006AV,14/01/2010,SURVEYED,58,04,3,58-04-3
01300005Z8,14/01/2010,SURVEYED,58,01,3,58-01-3
01300006AU,14/01/2010,SURVEYED,58,03,3,58-03-3
01300004JV,14/01/2010,SURVEYED,58,02,3,58-02-3
01300001DQ,18/12/2013,SURVEYED,43,28,2,43-28-2
01300001AW,18/12/2013,SURVEYED,44,13,3,44-13-3
01300006B1,16/01/2012,THEORETIC,59,04,2,59-04-2
013000059D,16/01/2012,THEORETIC,58,07,2,58-07-2
01300000AZ,09/02/2007,SURVEYED,69,22,3,69-22-3
013000048J,31/12/2009,SURVEYED,69,23,3,69-23-3
013000029V,14/05/2014,SURVEYED,24,01,2,24-01-2
01300006B3,16/01/2012,THEORETIC,59,05,2,59-05-2
01300005MQ,16/01/2012,THEORETIC,59,24,2,59-24-2
013000005S,18/12/2013,SURVEYED,41,12,3,41-12-3
01300001NM,18/12/2013,SURVEYED,38,22,2,38-22-2
01300002BD,18/12/2013,SURVEYED,23,19,3,23-19-3
01300002S9,18/12/2013,SURVEYED,14,19,3,14-19-3
01300002A0,18/12/2013,SURVEYED,24,18,3,24-18-3
013000004R,18/12/2013,SURVEYED,46,13,3,46-13-3
01300002P4,18/12/2013,SURVEYED,16,14,3,16-14-3
01300001JH,18/12/2013,SURVEYED,40,09,3,40-09-3
01300000GM,05/01/2016,THEORETIC,60,08,3,60-08-3
013000018U,18/12/2013,SURVEYED,45,13,3,45-13-3
01300000GM,05/01/2016,SURVEYED,60,08,3,60-08-3
01300002SB,18/12/2013,SURVEYED,14,18,3,14-18-3
01300001MW,18/12/2013,SURVEYED,38,05,3,38-05-3
01300000GF,05/01/2016,SURVEYED,60,10,3,60-10-3
0130000165,18/12/2013,SURVEYED,47,13,2,47-13-2
01300000GF,05/01/2016,THEORETIC,60,10,3,60-10-3
013000029Q,18/12/2013,SURVEYED,24,23,3,24-23-3
0130000170,18/12/2013,SURVEYED,46,14,3,46-14-3
01300002UE,18/12/2013,SURVEYED,13,02,2,13-02-2
01300000RH,20/12/2013,SURVEYED,55,22,2,55-22-2
01300002YJ,31/12/2013,SURVEYED,11,16,2,11-16-2
0130000089,20/12/2013,SURVEYED,83,20,3,83-20-3
0130000244,05/03/2014,SURVEYED,28,13,2,28-13-2
01300000CQ,11/03/2014,SURVEYED,64,23,3,64-23-3
01300002U9,11/03/2014,SURVEYED,13,17,3,13-17-3
0130000042,14/05/2014,SURVEYED,48,05,3,48-05-3
01300002PA,14/05/2014,SURVEYED,16,10,3,16-10-3
01300001N5,14/05/2014,SURVEYED,38,01,3,38-01-3
01300005MD,09/02/2007,THEORETIC,58,15,2,58-15-2
01300005MM,09/02/2007,THEORETIC,59,11,2,59-11-2
01300005MS,09/02/2007,THEORETIC,60,13,2,60-13-2
01300005MT,09/02/2007,THEORETIC,60,16,2,60-16-2
01300005MX,09/02/2007,THEORETIC,62,10,2,62-10-2
01300005MY,09/02/2007,THEORETIC,62,14,2,62-14-2
01300005N2,09/02/2007,THEORETIC,63,11,2,63-11-2
0130000477,09/02/2007,THEORETIC,60,15,2,60-15-2
01300002YX,09/07/2014,SURVEYED,10,23,3,10-23-3
01300001HD,09/02/2007,SURVEYED,41,18,2,41-18-2
01300001NK,09/02/2007,SURVEYED,38,23,2,38-23-2
01300001Q9,09/02/2007,SURVEYED,37,18,2,37-18-2
01300001S3,09/02/2007,SURVEYED,36,26,2,36-26-2
01300001VB,09/02/2007,SURVEYED,34,22,2,34-22-2
01300001WR,09/02/2007,SURVEYED,33,23,2,33-23-2
01300001Y5,09/02/2007,SURVEYED,32,19,2,32-19-2
01300001JG,12/01/2012,SURVEYED,40,05,2,40-05-2
01300001JG,12/01/2012,THEORETIC,40,05,2,40-05-2
013000019W,06/06/2011,SURVEYED,45A,26,2,45A-26-2
0130000184,09/02/2007,SURVEYED,46,18,2,46-18-2
0130000187,09/02/2007,SURVEYED,46,23,2,46-23-2
013000018L,09/02/2007,SURVEYED,45,21,2,45-21-2
013000016C,09/02/2007,SURVEYED,47,23,2,47-23-2
013000016F,09/02/2007,SURVEYED,47,20,2,47-20-2
0130000186,09/02/2007,SURVEYED,46,24,2,46-24-2
01300001A0,09/02/2007,SURVEYED,45,24,2,45-24-2
01300001C2,09/02/2007,SURVEYED,44,18,2,44-18-2
01300001FN,09/02/2007,SURVEYED,42,22,2,42-22-2
01300002WD,09/07/2014,SURVEYED,12,10,3,12-10-3
01300002N1,09/07/2014,SURVEYED,16,28,3,16-28-3
01300001HJ,09/02/2007,SURVEYED,41,22,2,41-22-2
01300001K6,09/02/2007,SURVEYED,40,18,2,40-18-2
01300002EZ,09/07/2014,SURVEYED,21,16,3,21-16-3
01300002D3,09/07/2014,SURVEYED,22,17,3,22-17-3
01300001LX,09/02/2007,SURVEYED,39,20,2,39-20-2
013000018K,09/02/2007,SURVEYED,45,22,2,45-22-2
01300001A1,09/02/2007,SURVEYED,45,19,2,45-19-2
01300002HX,09/07/2014,SURVEYED,19,25,3,19-25-3
01300001C6,09/02/2007,SURVEYED,44,20,2,44-20-2
01300001FM,09/02/2007,SURVEYED,42,19,2,42-19-2
01300001HF,09/02/2007,SURVEYED,41,19,2,41-19-2
01300001K8,09/02/2007,SURVEYED,40,19,2,40-19-2
01300001NJ,09/02/2007,SURVEYED,38,20,2,38-20-2
01300002LJ,09/07/2014,SURVEYED,17,28,3,17-28-3
01300002ZY,27/02/2019,SURVEYED,09,27,3,09-27-3
01300001WT,09/02/2007,SURVEYED,33,21,2,33-21-2
01300001Y9,09/02/2007,SURVEYED,32,22,2,32-22-2
01300002WB,09/07/2014,SURVEYED,12,11,3,12-11-3
01300001TV,09/02/2007,SURVEYED,35,22,2,35-22-2
01300001V4,09/02/2007,SURVEYED,34,26,2,34-26-2
01300003F9,09/02/2007,SURVEYED,39,21,2,39-21-2
01300003GH,09/02/2007,SURVEYED,33,22,2,33-22-2
013000004Z,09/02/2007,SURVEYED,46,16,2,46-16-2
01300001RB,27/02/2019,SURVEYED,36,08,3,36-08-3
013000015Z,09/02/2007,SURVEYED,47,10,2,47-10-2
013000017T,09/02/2007,SURVEYED,46,11,2,46-11-2
01300003K2,27/02/2019,SURVEYED,23,26,2,23-26-2
01300002ZK,27/02/2019,SURVEYED,10,07,2,10-07-2
01300002L7,27/02/2019,SURVEYED,18,11,3,18-11-3
01300002DH,27/02/2019,SURVEYED,22,10,3,22-10-3
01300003F5,09/02/2007,SURVEYED,39,11,2,39-11-2
01300002V0,27/02/2019,SURVEYED,13,05,3,13-05-3
01300001RN,09/02/2007,SURVEYED,36,11,2,36-11-2
013000022V,27/02/2019,SURVEYED,29,01,3,29-01-3
01300003H6,27/02/2019,SURVEYED,31,24,2,31-24-2
01300003HE,27/02/2019,SURVEYED,27,05,2,27-05-2
01300002RM,09/02/2007,SURVEYED,15,17,2,15-17-2
01300002T6,09/02/2007,SURVEYED,14,12,2,14-12-2
01300002TG,09/02/2007,SURVEYED,14,16,2,14-16-2
01300002TJ,09/02/2007,SURVEYED,14,17,2,14-17-2
01300002R9,09/02/2007,SURVEYED,15,12,2,15-12-2
01300002RK,09/02/2007,SURVEYED,15,16,2,15-16-2
01300002RQ,09/02/2007,SURVEYED,15,18,2,15-18-2
01300002E6,27/02/2019,SURVEYED,22,26,2,22-26-2
01300002VD,09/02/2007,SURVEYED,13,16,2,13-16-2
01300002WY,09/02/2007,SURVEYED,12,15,2,12-15-2
01300002X3,09/02/2007,SURVEYED,12,18,2,12-18-2
0130000212,27/02/2019,SURVEYED,30,01,3,30-01-3
0130000213,27/02/2019,SURVEYED,30,29,2,30-29-2
01300001XA,27/02/2019,SURVEYED,32,04,2,32-04-2
01300002UX,27/02/2019,SURVEYED,13,06,3,13-06-3
01300000MN,09/02/2007,THEORETIC,56,08,2,56-08-2
01300000MV,09/02/2007,THEORETIC,56,10,2,56-10-2
01300000MY,09/02/2007,THEORETIC,56,11,2,56-11-2
013000023R,27/02/2019,SURVEYED,28,05,2,28-05-2
013000031N,09/02/2007,SURVEYED,09,17,2,09-17-2
01300000NB,09/02/2007,THEORETIC,56,14,2,56-14-2
01300000NJ,09/02/2007,THEORETIC,56,15,2,56-15-2
01300002FB,27/02/2019,SURVEYED,21,10,3,21-10-3
013000033B,09/02/2007,SURVEYED,08,19,2,08-19-2
01300001VU,27/02/2019,SURVEYED,33,04,2,33-04-2
01300003MN,09/02/2007,SURVEYED,11,25,2,11-25-2
013000025F,27/02/2019,SURVEYED,27,04,2,27-04-2
01300003NW,09/02/2007,SURVEYED,05,27,2,05-27-2
01300003NX,09/02/2007,SURVEYED,05,25,2,05-25-2
01300003PA,09/02/2007,SURVEYED,04,22,2,04-22-2
01300003PN,09/02/2007,SURVEYED,03,21,2,03-21-2
0130000201,27/02/2019,SURVEYED,30,20,3,30-20-3
01300002YG,09/02/2007,SURVEYED,11,15,2,11-15-2
0130000334,09/02/2007,SURVEYED,08,15,2,08-15-2
013000038H,09/02/2007,SURVEYED,05,12,2,05-12-2
013000038S,09/02/2007,SURVEYED,05,17,2,05-17-2
0130000353,09/02/2007,SURVEYED,07,17,2,07-17-2
0130000370,09/02/2007,SURVEYED,06,17,2,06-17-2
0130000372,09/02/2007,SURVEYED,06,18,2,06-18-2
0130000375,09/02/2007,SURVEYED,06,19,2,06-19-2
01300003A4,09/02/2007,SURVEYED,04,13,2,04-13-2
01300003AE,09/02/2007,SURVEYED,04,19,2,04-19-2
01300003EU,09/02/2007,SURVEYED,01,17,2,01-17-2
01300000XM,09/02/2007,SURVEYED,51,18,3,51-18-3
01300000ZC,09/02/2007,SURVEYED,50,21,3,50-21-3
0130000119,09/02/2007,SURVEYED,49,21,3,49-21-3
013000014X,09/02/2007,SURVEYED,47,21,3,47-21-3
013000005L,09/02/2007,SURVEYED,41,25,3,41-25-3
013000019L,09/02/2007,SURVEYED,44,26,3,44-26-3
01300004EN,09/02/2007,THEORETIC,102,20,3,102-20-3
01300004EW,09/02/2007,THEORETIC,103,20,3,103-20-3
01300004F2,09/02/2007,THEORETIC,104,18,3,104-18-3
01300004F3,09/02/2007,THEORETIC,104,19,3,104-19-3
01300004FD,09/02/2007,THEORETIC,106,21,3,106-21-3
013000042B,09/02/2007,THEORETIC,100,22,3,100-22-3
013000053R,09/02/2007,THEORETIC,100,23,3,100-23-3
01300003QM,09/02/2007,THEORETIC,101,18,3,101-18-3
01300004EK,09/02/2007,THEORETIC,101,21,3,101-21-3
013000066B,09/02/2007,THEORETIC,101,23,3,101-23-3
01300005H4,09/02/2007,THEORETIC,102,22,3,102-22-3
013000066K,09/02/2007,THEORETIC,103,18,3,103-18-3
01300003R9,09/02/2007,THEORETIC,105,23,3,105-23-3
01300004FC,09/02/2007,THEORETIC,106,20,3,106-20-3
013000055C,09/02/2007,THEORETIC,107,19,3,107-19-3
013000043L,09/02/2007,THEORETIC,108,16,3,108-16-3
013000067C,09/02/2007,THEORETIC,108,17,3,108-17-3
01300004SY,09/02/2007,THEORETIC,108,18,3,108-18-3
013000055P,09/02/2007,THEORETIC,109,18,3,109-18-3
013000067L,09/02/2007,THEORETIC,109,21,3,109-21-3
01300003RY,09/02/2007,THEORETIC,109,23,3,109-23-3
